Waiter,"total_bill","tip","smoker","day","time","size"
10,16.99,1.01,"No","Sun","Dinner",2
10,10.34,1.66,"No","Sun","Dinner",3
11,21.01,3.5,"No","Sun","Dinner",3
11,23.68,3.31,"No","Sun","Dinner",2
22,24.59,3.61,"No","Sun","Dinner",4
13,25.29,4.71,"No","Sun","Dinner",4
10,8.77,2,"No","Sun","Dinner",2
30,26.88,3.12,"No","Sun","Dinner",4
15,15.04,1.96,"No","Sun","Dinner",2
30,14.78,3.23,"No","Sun","Dinner",2
15,10.27,1.71,"No","Sun","Dinner",2
30,35.26,5,"No","Sun","Dinner",4
10,15.42,1.57,"No","Sun","Dinner",2
11,18.43,3,"No","Sun","Dinner",4
11,14.83,3.02,"No","Sun","Dinner",2
30,21.58,3.92,"No","Sun","Dinner",2
11,10.33,1.67,"No","Sun","Dinner",3
10,16.29,3.71,"No","Sun","Dinner",3
12,16.97,3.5,"No","Sun","Dinner",3
12,20.65,3.35,"No","Sat","Dinner",3
11,17.92,4.08,"No","Sat","Dinner",2
11,20.29,2.75,"No","Sat","Dinner",2
10,15.77,2.23,"No","Sat","Dinner",2
33,39.42,7.58,"No","Sat","Dinner",4
33,19.82,3.18,"No","Sat","Dinner",2
